,Zip Code,Offense
0,64127.0,670
1,64106.0,702
2,64109.0,1198
3,64130.0,401
5,64124.0,1401
6,64133.0,501
7,64134.0,401
9,64106.0,2201
11,64106.0,801
12,64132.0,2601
14,64154.0,831
15,63127.0,801
17,66106.0,702
19,64134.0,801
24,64109.0,1401
29,64130.0,201
33,64114.0,1188
35,64132.0,501
36,64130.0,901
38,64151.0,690
49,64127.0,901
51,64131.0,1188
52,64114.0,3077
53,64125.0,901
55,64110.0,802
56,64118.0,2601
66,64126.0,702
67,64126.0,2601
68,64124.0,901
79,64138.0,901
83,64131.0,501
85,64105.0,302
86,64118.0,702
90,64130.0,702
91,64633.0,2601
93,64119.0,702
95,64111.0,302
100,64152.0,1188
104,64123.0,302
109,64127.0,2655
115,64131.0,1198
117,64151.0,1002
126,64114.0,1120
128,64133.0,702
133,64152.0,401
136,64108.0,201
138,64131.0,1201
141,64145.0,690
144,64133.0,630
147,64111.0,201
148,64113.0,702
151,64124.0,1198
160,64111.0,302
162,64109.0,2601
164,64124.0,670
165,64112.0,670
166,64127.0,640
167,64133.0,2601
169,64129.0,502
174,64152.0,502
175,64153.0,1122
177,64126.0,650
178,64111.0,640
179,64132.0,802
180,64153.0,650
181,64106.0,690
182,64132.0,702
183,64127.0,501
187,64124.0,640
188,64123.0,501
189,64132.0,702
190,64130.0,1401
191,64128.0,302
192,64138.0,650
197,64127.0,901
208,64133.0,2655
214,64131.0,901
215,64131.0,702
217,64106.0,201
224,64128.0,901
227,64124.0,2655
232,64114.0,801
236,64134.0,702
237,64127.0,1001
243,64106.0,901
245,64633.0,2601
251,64127.0,690
252,64110.0,1849
253,64131.0,501
255,64114.0,1401
258,64124.0,802
259,64145.0,799
260,64128.0,802
261,64124.0,802
263,64133.0,1002
264,64133.0,501
265,64124.0,802
266,64114.0,640
267,64101.0,802
268,64127.0,301
269,64108.0,802
270,64106.0,1401
271,64118.0,801
272,64108.0,690
274,64151.0,1401
275,64130.0,2601
276,64130.0,2601
277,64123.0,702
278,64126.0,501
279,64152.0,702
280,64132.0,802
281,64145.0,831
282,64126.0,802
283,64127.0,302
284,64130.0,802
285,64110.0,302
286,64127.0,702
287,64114.0,702
288,64133.0,302
289,64127.0,302
291,64138.0,1401
292,64109.0,401
294,64106.0,1401
295,64134.0,1401
296,64128.0,501
297,64114.0,640
299,64134.0,2601
300,64110.0,1849
301,64133.0,802
302,64132.0,2100
303,64111.0,1401
304,64119.0,501
305,64106.0,501
306,64116.0,702
308,64118.0,670
309,64101.0,502
310,64118.0,801
311,64118.0,670
312,64118.0,501
313,64111.0,640
314,64127.0,2402
315,64124.0,802
318,64147.0,650
319,64109.0,502
320,64109.0,401
321,64114.0,640
322,64113.0,799
323,64131.0,702
324,64133.0,630
325,64127.0,630
326,64130.0,1401
328,64128.0,802
329,64128.0,403
330,64114.0,690
331,64127.0,670
332,64136.0,802
333,64128.0,1401
334,64130.0,501
335,64127.0,840
336,64134.0,501
337,64117.0,1401
338,64108.0,640
339,64134.0,802
341,64116.0,650
342,64134.0,1401
343,64131.0,501
344,64131.0,702
347,64106.0,640
348,64131.0,650
350,64110.0,403
351,64106.0,640
352,64119.0,802
355,64109.0,1401
356,64133.0,802
357,64127.0,1401
358,64112.0,640
359,64114.0,501
360,64126.0,501
361,64127.0,501
362,64145.0,1201
363,64108.0,2601
366,64130.0,630
367,64111.0,650
369,64134.0,1198
371,64134.0,501
372,64106.0,670
373,64123.0,302
375,64111.0,640
376,64119.0,802
377,64131.0,640
378,64127.0,1401
379,64130.0,801
380,64123.0,1401
381,64119.0,831
382,64130.0,1849
383,64138.0,670
384,64111.0,1401
385,64134.0,501
386,64108.0,840
387,64131.0,831
388,64118.0,1401
390,64133.0,801
392,64131.0,702
394,64130.0,802
395,64133.0,802
396,64138.0,501
397,64126.0,2601
398,64134.0,1198
400,64132.0,660
401,64134.0,802
402,64145.0,403
403,64114.0,1188
404,64126.0,1850
406,64127.0,2601
407,64109.0,501
408,64124.0,1401
409,64112.0,640
410,64134.0,1742
411,64111.0,670
412,64117.0,650
413,64123.0,802
415,64118.0,1401
416,64138.0,1770
417,64127.0,640
418,64110.0,640
419,64124.0,402
421,64130.0,702
422,64105.0,2655
423,64119.0,1401
424,64127.0,1401
425,64152.0,1401
426,64111.0,640
427,64111.0,670
428,64126.0,2601
433,64109.0,690
434,64124.0,501
435,64130.0,702
436,64134.0,801
437,64111.0,1401
439,64119.0,650
440,64106.0,801
441,64118.0,670
444,64126.0,801
445,64151.0,1401
446,64145.0,802
447,64111.0,1546
448,64109.0,302
449,64132.0,690
450,64123.0,799
451,64130.0,1401
452,64111.0,1401
453,64118.0,2601
454,64114.0,802
455,64131.0,2601
456,64153.0,1701
457,64133.0,630
458,64119.0,501
459,64157.0,2601
461,64127.0,501
462,64138.0,501
463,64118.0,1401
464,64124.0,670
465,64134.0,702
466,64111.0,1401
467,64155.0,1401
468,64127.0,650
469,64110.0,401
470,64130.0,1122
472,64106.0,610
473,64129.0,1401
474,64130.0,670
475,64156.0,640
476,64106.0,670
478,64152.0,630
480,64127.0,802
482,64119.0,802
483,64119.0,650
484,64124.0,702
486,64111.0,650
487,64134.0,502
488,64131.0,650
489,64129.0,702
490,64128.0,802
491,64137.0,1122
492,64134.0,1401
493,64116.0,501
494,64130.0,501
497,64118.0,1401
498,64137.0,1401
499,64138.0,501
501,64127.0,302
502,64130.0,802
503,64153.0,640
504,64151.0,2601
505,64118.0,650
508,64153.0,1120
510,64111.0,802
512,64127.0,301
514,64132.0,640
515,64138.0,630
516,64130.0,1849
517,64130.0,2040
519,64127.0,801
520,64131.0,802
521,64130.0,403
522,64151.0,702
523,64137.0,801
524,64119.0,801
525,64133.0,2655
526,64112.0,2664
527,64161.0,502
528,64133.0,1122
529,64124.0,690
530,64111.0,801
531,64128.0,401
532,64126.0,2655
533,64157.0,501
534,64123.0,302
535,66106.0,2601
537,64109.0,2601
538,64109.0,2601
539,64111.0,640
540,64108.0,831
