Offense,Report_No,From_Date,From_Time,Zip Code,DVFlag,Race,Sex,Firearm Used Flag
101,251,237,231,251,251,251,251,251
121,3,0,0,3,3,3,3,3
199,2,2,2,2,2,2,2,2
201,558,554,554,558,558,557,557,558
210,398,386,386,398,398,398,398,398
220,6,6,6,6,6,6,6,6
230,10,10,10,10,10,10,10,10
301,2099,2098,2098,2099,2099,1999,1999,2099
302,4030,4024,4024,4030,4030,3843,3843,4030
401,6576,6566,6560,6576,6576,6499,6499,6576
402,700,697,697,700,700,696,696,700
403,2766,2763,2763,2766,2766,2749,2749,2766
501,9345,9337,9337,9345,9345,9068,9068,9345
502,1883,1883,1881,1883,1883,1227,1227,1883
610,109,109,109,109,109,109,109,109
620,98,98,98,98,98,98,98,98
630,6117,6113,6113,6117,6117,3396,3396,6117
640,7692,7689,7688,7692,7692,7400,7400,7692
650,4028,4028,4028,4028,4028,3849,3849,4028
660,177,177,177,177,177,172,172,177
670,5077,5072,5071,5077,5077,4754,4754,5077
680,42,42,42,42,42,23,23,42
690,4273,4271,4269,4273,4273,3768,3768,4273
702,8451,8431,8423,8451,8451,8112,8112,8451
799,628,628,628,628,628,539,539,628
801,6477,6469,6466,6477,6477,6301,6301,6477
802,8981,8979,8973,8981,8981,8923,8923,8981
820,22,22,22,22,22,22,22,22
831,1548,1540,1536,1548,1548,1527,1527,1548
840,1553,1546,1539,1553,1553,861,861,1553
842,8,8,8,8,8,4,4,8
901,432,428,428,432,432,385,385,432
902,4,4,4,4,4,3,3,4
1001,448,448,448,448,448,314,314,448
1002,331,331,331,331,331,256,256,331
1050,293,290,290,293,293,166,166,293
1120,1604,1604,1604,1604,1604,1255,1255,1604
1122,1215,1215,1212,1215,1215,1150,1150,1215
1170,71,71,71,71,71,37,37,71
1188,301,301,301,301,301,283,283,301
1197,98,98,98,98,98,92,92,98
1198,1506,1506,1505,1506,1506,1488,1488,1506
1199,78,78,78,78,78,74,74,78
1201,462,462,462,462,462,236,236,462
1352,494,491,488,494,494,356,356,494
1401,11048,11044,11041,11048,11048,10096,10096,11048
1546,2001,1984,1960,2001,2001,910,910,2001
1648,33,33,33,33,33,27,27,33
1650,60,60,60,60,60,33,33,60
1651,183,183,183,183,183,101,101,183
1652,229,229,229,229,229,142,142,229
1701,94,92,92,94,94,94,94,94
1702,71,63,60,71,71,71,71,71
1740,12,12,12,12,12,12,12,12
1741,89,89,89,89,89,83,83,89
1742,149,149,149,149,149,147,147,149
1750,295,295,295,295,295,295,295,295
1770,142,140,138,142,142,106,106,142
1849,4735,4724,4716,4735,4735,1860,1860,4735
1850,2024,2020,2020,2024,2024,867,867,2024
2001,619,613,604,619,619,605,605,619
2031,6,6,6,6,6,6,6,6
2040,772,772,772,772,772,762,762,772
2041,536,536,536,536,536,532,532,536
2054,104,104,104,104,104,100,100,104
2100,988,967,965,988,988,723,723,988
2201,310,309,309,310,310,181,181,310
2402,1550,1542,1542,1550,1550,996,996,1550
2403,63,63,63,63,63,35,35,63
2530,48,48,48,48,48,24,24,48
2601,5746,5739,5731,5746,5746,4776,4776,5746
2602,99,99,99,99,99,83,83,99
2603,5,5,5,5,5,3,3,5
2604,232,228,228,232,232,128,128,232
2655,3515,3514,3514,3515,3515,2064,2064,3515
2661,177,175,175,177,177,176,176,177
2662,19,19,19,19,19,19,19,19
2663,24,24,24,24,24,17,17,24
2664,52,52,52,52,52,42,42,52
2665,9,9,9,9,9,9,9,9
2693,18,18,18,18,18,18,18,18
2954,20,20,20,20,20,20,20,20
3010,4,4,4,4,4,4,4,4
3020,61,61,61,61,61,61,61,61
3036,14,14,14,14,14,10,10,14
3060,1,1,1,1,1,1,1,1
3063,1,1,1,1,1,1,1,1
3066,8,7,7,8,8,8,8,8
3067,3,3,3,3,3,3,3,3
3069,2,2,2,2,2,2,2,2
3070,37,37,37,37,37,37,37,37
3072,2,2,2,2,2,2,2,2
3073,17,17,17,17,17,17,17,17
3074,5,5,5,5,5,5,5,5
3075,10,10,10,10,10,10,10,10
3076,3,3,3,3,3,3,3,3
3077,65,65,65,65,65,65,65,65
3079,24,24,24,24,24,24,24,24
