Description_M,Index_M,Description_O,Index_O,Description_V,Index_V
AUTO THEFT,2,Casualty (includes a,11,Forcible Fondling,16
Armed Robbery,3359,Child Endangerment,2,Forcible Sodomy,427
Auto Theft,8374,Curfew,68,HOMICIDE/Non Neglige,152
Auto Theft Outside S,587,Dead Body,103,Harassment,2
Burglary - Non Resid,2083,Disorderly Conduct,1914,Hit and Run of a Per,24
Burglary - Residence,10821,Driving Under Influe,1087,Intimidation,1172
Counterfeiting,145,Drunkenness,118,Justifiable Homicide,3
Credit/Debit/ATM Car,934,Failure to Return,121,Kidnapping/Abduction,82
Embezzlement,416,False ID,17,Negligent Manslaught,2
Extortion/Blackmail,2,False Information to,209,Non Agg Assault,5
Forged Checks,434,Family Disturbance,13,Non Agg Assault Dome,8680
Forgery,770,Family Offense,557,Non Aggravated Assau,6331
Fraud Confidence Gam,8,Liquor Law Violaton,422,Rape,547
Fraud/Confidence Gam,1263,Loitering,31,Resisting an Officer,1739
Passing Bad Checks,17,Misc Investigation,1,Resisting an officer,2
Stealing All Other,5357,Misc Violation,6190,Sex Off Follow/Entic,23
Stealing Auto Parts/,5058,Peeping Tom,4,Sex Off Fondle - mol,309
Stealing Bicycles,155,Pornography,36,Sex Off Incest,3
Stealing Coin Operat,35,Possession of Drug E,1960,Sex Off Indecent Con,45
Stealing From Auto,7737,Violation Ex Parte O,293,Sex Off Indecent Exp,133
Stealing Pickpocket,160,Violation Full Order,633,Sex Off Misconduct,130
Stealing Purse Snatc,111,Walking in Street,1,Sex Offense -others,118
Stealing Shoplifting,5702,Weapons Law Violatio,780,Sexual Assault with,2
Stealing from Buildi,5463,],2,Stalking,7
Stolen Property OFFE,296,interuption of servi,3,Statutory Rape,82
Strong Arm Robbery,1920,intimidation,2,Suicide By Hanging,4
counterfieting,5,liquor law violation,2,Suicide By Shooting,4
fraud,3,misc investigation,5,Suicide By Sleeping,20
Trespassing,3283,sex offense -others,3,Suicide by Other Mea,4
property damage,2,stealing from bldg,3,aggravated assault,2
PROPERTY DAMAGE,2,Possession/Sale/Dist,4984,,
PROPERY DAMAGE,2,Promoting Prostituti,20,,
armed robbery,3,Property Damage,10710,,
Wire Fraud,459,Prostitution/Patroni,281,,
,,Impersonation,1069,,
,,Impersonation - NOT,44,,
,,Interference with Cu,101,,
