Description,Index
1,2
4,2
5,2
Agg Assault - Domest,3062
Agg Assault - Drive-,698
Aggravated Assault,7
Aggravated Assault (,7132
Animal Cruelty,4
Armed Robbery,4291
Arson,481
Arson with Fire Bomb,8
Attempt Suicide by C,33
Attempt Suicide by G,1
Attempt Suicide by H,11
Attempt Suicide by J,4
Attempt Suicide by O,28
Attempt Suicide by P,9
Attempt Suicide by S,89
Auto Theft,9461
Auto Theft Outside S,944
Bomb Threat/Intimida,110
Burglary - Non Resid,2341
Burglary - Residence,8391
Casualty (includes a,11
Counterfeiting,322
Credit/Debit/ATM Car,1171
Curfew,51
Dead Body,79
Disorderly Conduct,1557
Driving Under Influe,989
Drunkenness,39
Embezzlement,548
Extortion/Blackmail,18
Failure to Return,52
False ID,19
False Information to,304
Family Disturbance,5
Family Offense,602
Forcible Fondling,17
Forcible Sodomy,389
Forged Checks,445
Forgery,411
Fraud/Confidence Gam,1707
HOMICIDE/Non Neglige,267
Hacking/Computer Inv,42
Hit and Run of a Per,14
Human Trafficking/Co,6
Identity Theft,1366
Impersonation - NOT,86
Interference with Cu,139
Intimidation,1644
Invasion of Privacy,2
Justifiable Homicide,16
Kidnapping/Abduction,233
Liquor Law Violaton,321
Loitering,34
MISSING PERSON,1
Misc Viol(2601),2
Misc Violation,4359
Missing/Runaway Juve,7
Non Agg Assault Dome,9029
Non Aggravated Assau,6547
Passing Bad Checks,13
Peeping Tom,3
Pornography,38
Possession of Drug E,1667
Possession/Sale/Dist,5419
Promoting Prostituti,24
Property Damage,12206
Prostitution/Patroni,150
Prostitution/Solicit,179
Rape,684
Resisting an Officer,1895
Sex Off Follow/Entic,20
Sex Off Fondle - mol,415
Sex Off Incest,2
Sex Off Indecent Con,84
Sex Off Indecent Exp,131
Sex Off Misconduct,152
Sex Offense -others,117
Sexual Assault with,4
Stalking,31
Statutory Rape,91
Stealing Acc,2
Stealing All Other,4762
Stealing Auto Parts/,4064
Stealing Bicycles,162
Stealing Coin Operat,40
Stealing From Auto,9511
Stealing Pickpocket,159
Stealing Purse Snatc,99
Stealing Shoplifting,5968
Stealing from Buildi,5060
Stealing from uildi,3
Stolen Property OFFE,712
Strong Arm Robbery,2020
Suicide By Cutting,1
Suicide By Hanging,2
Suicide By Shooting,2
Suicide By Sleeping,11
Suicide by Other Mea,3
Trespassing,3461
Vagrancy,2
Violation Ex Parte O,457
Violation Full Order,762
Weapons Law Violatio,1192
Welfare Fraud,4
Wire Fraud,375
auto theft,1
broken window,2
counterfeiting,1
fraud,3
property damage,4
robbery,3
s,2
strong armed robbery,2
