description,offense
Agg Assault - Domest,17
Agg Assault - Drive-,6
Aggravated Assault (,58
Armed Robbery,37
Arson,6
Attempt Suicide by S,1
Auto Theft,91
Auto Theft Outside S,4
Bomb Threat/Intimida,2
Burglary - Non Resid,16
Burglary - Residence,42
Counterfeiting,2
Credit/Debit/ATM Car,10
Dead Body,2
Disorderly Conduct,14
Driving Under Influe,8
Drunkenness,2
Embezzlement,8
False ID,2
False Information to,4
Family Offense,4
Forcible Sodomy,8
Forged Checks,2
Forgery,1
Fraud/Confidence Gam,7
HOMICIDE/Non Neglige,3
Hacking/Computer Inv,1
Hit and Run of a Per,1
Identity Theft,7
Intimidation,18
Kidnapping/Abduction,2
Misc Violation,45
Non Agg Assault Dome,79
Non Aggravated Assau,48
Passing Bad Checks,1
Pornography,1
Possession of Drug E,7
Possession/Sale/Dist,38
Property Damage,68
Prostitution/Patroni,1
Prostitution/Solicit,2
Rape,3
Resisting an Officer,14
Sex Off Indecent Exp,1
Sex Off Misconduct,1
Stalking,1
Stealing All Other,42
Stealing Auto Parts/,37
Stealing Bicycles,1
Stealing From Auto,82
Stealing Purse Snatc,2
Stealing Shoplifting,50
Stealing from Buildi,33
Stolen Property OFFE,7
Strong Arm Robbery,13
Trespassing,24
Violation Ex Parte O,2
Violation Full Order,5
Weapons Law Violatio,6
