Description_M,Index_M,,Description_O,Index_O,,Description_V,Index_V
Auto Theft,8349,,1,1,,Agg Assault,2
Auto Theft Outside S,718,,403,4,,Agg Assault - Domest,2377
Auto Theft7,2,,CHILD ABUSE,2,,Agg Assault - Drive-,446
Burglary - Non Resid,1994,,Casualty (includes a,12,,Aggravated Assault (,5455
Burglary - Residence,9084,,Curfew,47,,Animal Bite - All Ot,1
Counterfeiting,114,,Dead Body,101,,Arson,408
Counterfeitting,1,,Disorderly Conduct,1517,,Arson OTH,2
Credit/Debit/ATM Car,961,,Driving Under Influe,982,,Arson with Fire Bomb,15
Embezzlement,483,,Drunkenness,85,,Attempt Suicide by C,62
Extortion/Blackmail,4,,Failure to Return,149,,Attempt Suicide by H,10
Forged Checks,367,,False ID,23,,Attempt Suicide by J,3
Forgery,551,,False Information to,224,,Attempt Suicide by O,25
Fraud,2,,Family Disturbance,5,,Attempt Suicide by P,7
Fraud Confidence Gam,10,,Family Offense,461,,Attempt Suicide by S,81
Fraud/Confidence Gam,1338,,Identity Theft,91,,Bomb Threat/Intimida,75
Gambling - Operating,3,,Impersonation,2093,,Bombing (other than,4
Passing Bad Checks,13,,Impersonation - NOT,79,,Forcible Fondling,42
Property Damage,10408,,Interference with Cu,85,,Forcible Sodomy,405
STEALING,2,,Liquor Law Violaton,298,,HOMICIDE/Non Neglige,201
STEALING ACC,2,,Loitering,9,,Hindering,2
Stealig All Other,2,,Misc Violation,5854,,Hit and Run of a Per,21
Stealing All Other,4627,,Missing/Runaway Juve,10,,Intimidation,1363
Stealing Auto Parts/,4508,,Peeping Tom,8,,Intimidation (DV),2
Stealing Bicycles,154,,Pornography,47,,Justifiable Homicide,2
Stealing Coin Operat,26,,Possession of Drug E,1831,,Kidnapping/Abduction,109
Stealing From Auto,7469,,Possession/Sale/Dist,4244,,Negligent Manslaught,4
Stealing Pickpocket,134,,Promoting Prostituti,36,,Non Agg Assault Dome,9027
Stealing Purse Snatc,92,,Prostitution/Patroni,117,,Non Aggravated Assau,6272
Stealing Shoplifting,5640,,Prostitution/Solicit,223,,RAPE,2
Stealing from Buildi,4907,,Trespassing,3125,,Rape,514
Stolen Property OFFE,412,,Violation Ex Parte O,376,,Resisting an Officer,1395
Strong Arm Robbery,1896,,Violation Full Order,745,,Sex Off Follow/Entic,13
auto theft,4,,Weapons Law Violatio,1531,,Sex Off Fondle - mol,326
burglary,2,,Welfare Fraud,2,,Sex Off Indecent Con,69
embezzlement,2,,Wire Fraud,275,,Sex Off Indecent Exp,106
fraud,2,,impersonation,2,,Sex Off Misconduct,156
Armed Robbery,3695,,misc juv,5,,Sex Offense -others,82
Receiving Stolen Pro,1,,possession of drug e,2,,Stalking,11
PROPERTY DAM,1,,prowling,4,,Statutory Rape,101
,,,,,,Suicide By Cutting,1
,,,,,,Suicide By Shooting,3
,,,,,,Suicide By Sleeping,10
,,,,,,resist,2
,,,,,,resisting officer,2
