,Offense,Age,Month,Day,Year
0,2601,,03,06,2015
1,401,,01,19,2015
2,2001,,01,19,2015
3,702,,09,08,2015
4,1849,,05,19,2015
5,801,29.0,08,31,2015
6,2601,,12,04,2015
7,840,18.0,12,23,2015
8,702,51.0,08,21,2015
9,401,30.0,08,15,2015
10,201,50.0,02,09,2015
11,640,39.0,02,10,2015
12,1849,32.0,06,17,2015
13,840,36.0,,,
14,640,,05,29,2015
15,802,46.0,06,10,2015
16,690,,09,04,2015
17,690,,04,27,2015
18,1546,34.0,06,16,2015
19,302,,01,03,2015
20,690,,10,14,2015
21,690,,04,02,2015
22,301,,10,16,2015
23,802,22.0,05,03,2015
24,2201,27.0,06,09,2015
25,1401,,06,08,2015
26,640,30.0,09,08,2015
27,2201,,02,23,2015
28,801,33.0,07,07,2015
29,1849,43.0,03,08,2015
30,702,42.0,09,08,2015
31,401,,06,02,2015
32,802,33.0,09,16,2015
33,401,201.0,10,22,2015
34,1651,,03,31,2015
35,2402,36.0,08,28,2015
36,302,,06,29,2015
37,2100,,12,31,2015
38,1849,38.0,10,17,2015
39,302,,07,25,2015
40,1652,,05,07,2015
41,2402,,10,10,2015
42,1849,,04,28,2015
43,401,60.0,,,
44,2601,,03,07,2015
45,401,28.0,07,30,2015
46,2403,59.0,05,02,2015
47,1352,,11,15,2015
48,2604,20.0,02,19,2015
49,2601,48.0,06,12,2015
50,2601,33.0,07,06,2015
51,1546,,08,14,2015
52,302,22.0,12,02,2015
53,1401,,04,03,2015
54,1850,44.0,09,06,2015
55,650,,03,13,2015
56,640,,12,04,2015
57,301,,08,26,2015
58,302,24.0,10,18,2015
59,401,25.0,10,04,2015
60,401,72.0,,,
61,1850,,05,09,2015
62,840,47.0,04,04,2015
63,690,,09,24,2015
64,1850,,02,25,2015
65,2601,,01,26,2015
66,401,,06,29,2015
67,1849,,03,28,2015
68,640,26.0,10,24,2015
69,1849,50.0,09,18,2015
70,2040,26.0,04,15,2015
71,2402,33.0,12,16,2015
72,1651,,06,18,2015
73,640,36.0,05,09,2015
74,640,,06,17,2015
75,2100,30.0,05,15,2015
76,1849,,10,26,2015
77,1849,,04,21,2015
78,702,24.0,07,17,2015
79,1850,,09,18,2015
80,801,25.0,08,09,2015
81,1401,65.0,05,09,2015
82,2402,23.0,08,15,2015
83,501,,04,29,2015
84,301,45.0,03,02,2015
85,302,20.0,08,01,2015
86,301,,05,02,2015
87,801,25.0,08,17,2015
88,401,40.0,05,30,2015
89,2100,,12,17,2015
90,1849,34.0,03,04,2015
91,2201,,12,02,2015
92,670,,08,07,2015
93,1849,,03,13,2015
94,1849,,04,19,2015
95,1401,42.0,05,19,2015
96,2100,39.0,05,24,2015
97,1401,24.0,05,28,2015
98,801,28.0,02,06,2015
99,2100,23.0,02,27,2015
100,402,,05,22,2015
101,2402,27.0,01,04,2015
102,302,27.0,10,24,2015
103,640,,08,15,2015
104,401,72.0,07,11,2015
105,2402,23.0,08,30,2015
106,802,,03,22,2015
107,801,57.0,06,20,2015
108,1401,,05,21,2015
109,1850,,06,12,2015
110,2604,,03,18,2015
111,2655,40.0,06,25,2015
112,1850,22.0,02,13,2015
113,1849,,06,03,2015
114,1652,,08,17,2015
115,702,23.0,12,22,2015
116,401,56.0,07,07,2015
117,1401,27.0,09,03,2015
118,801,36.0,03,14,2015
119,2100,,11,29,2015
120,801,29.0,01,02,2015
121,301,,10,30,2015
122,640,36.0,01,29,2015
123,1850,,03,04,2015
124,1546,,09,04,2015
125,840,,04,04,2015
126,2601,,12,02,2015
127,690,,08,29,2015
128,1849,,09,01,2015
129,302,,07,17,2015
130,1401,,12,19,2015
131,2402,23.0,08,18,2015
132,2100,,07,24,2015
133,2601,,06,05,2015
134,1352,42.0,08,11,2015
135,302,30.0,03,14,2015
136,801,27.0,11,22,2015
137,2601,,10,15,2015
138,801,61.0,08,22,2015
139,1850,,09,11,2015
140,502,,01,03,2015
141,2100,25.0,11,21,2015
142,2601,,09,07,2015
143,1850,51.0,08,21,2015
144,670,,08,07,2015
145,401,25.0,03,07,2015
146,2655,,08,22,2015
147,401,27.0,04,24,2015
148,1850,,08,13,2015
149,801,20.0,08,05,2015
150,1850,,12,10,2015
151,1849,,01,05,2015
152,799,,11,24,2015
153,702,42.0,08,21,2015
154,640,,09,14,2015
155,2402,32.0,04,04,2015
156,1850,39.0,04,16,2015
157,301,,07,26,2015
158,1850,22.0,05,15,2015
159,1546,50.0,04,05,2015
160,702,,06,22,2015
161,302,33.0,03,01,2015
162,1849,45.0,01,16,2015
163,840,,01,21,2015
164,403,45.0,07,15,2015
165,640,59.0,02,13,2015
166,302,,09,12,2015
167,1401,,01,02,2015
168,2402,22.0,05,29,2015
169,2601,37.0,09,08,2015
170,801,30.0,11,25,2015
171,702,33.0,07,21,2015
172,2601,21.0,08,31,2015
173,840,31.0,09,27,2015
174,799,,05,05,2015
175,401,34.0,07,05,2015
176,2201,18.0,01,30,2015
177,640,,05,26,2015
178,1401,,09,28,2015
179,2601,,09,07,2015
180,1849,,07,15,2015
181,2100,,08,27,2015
182,640,30.0,06,28,2015
183,401,,07,01,2015
184,1849,,02,22,2015
185,1849,,09,19,2015
186,302,36.0,10,29,2015
187,1850,20.0,02,28,2015
188,840,,07,17,2015
189,1352,22.0,05,21,2015
190,401,52.0,,,
191,1849,34.0,12,06,2015
192,802,,10,17,2015
193,1401,32.0,04,04,2015
194,1849,22.0,02,25,2015
195,301,51.0,01,17,2015
196,801,30.0,11,19,2015
197,302,,04,09,2015
198,1401,,04,04,2015
199,840,37.0,11,18,2015
200,801,58.0,11,14,2015
201,1849,28.0,09,06,2015
202,1546,,04,26,2015
203,1651,,05,06,2015
204,1850,,03,03,2015
205,1850,,05,13,2015
206,301,30.0,12,20,2015
207,640,48.0,12,04,2015
208,610,24.0,05,25,2015
209,640,,09,08,2015
210,640,44.0,07,24,2015
211,1850,,02,22,2015
212,1651,32.0,09,09,2015
213,1849,,12,08,2015
214,1850,52.0,07,03,2015
215,2601,,12,19,2015
216,799,,02,23,2015
217,1651,50.0,11,19,2015
218,1849,,06,18,2015
219,1651,,05,07,2015
220,502,,01,03,2015
221,1850,,11,05,2015
222,2100,23.0,12,09,2015
223,401,47.0,08,08,2015
224,1651,31.0,03,31,2015
225,1850,,06,17,2015
226,1850,,06,08,2015
227,2661,25.0,09,15,2015
228,799,,01,29,2015
229,1352,18.0,01,16,2015
230,1546,,09,04,2015
231,702,34.0,02,02,2015
232,702,27.0,04,24,2015
233,2601,,07,31,2015
234,1401,28.0,01,03,2015
235,1849,18.0,08,09,2015
236,201,38.0,08,12,2015
237,1850,59.0,06,05,2015
238,401,,01,29,2015
239,401,20.0,06,07,2015
240,2601,59.0,10,03,2015
241,2655,,04,01,2015
242,2100,31.0,04,04,2015
243,1850,,03,11,2015
244,1849,,11,11,2015
245,2100,24.0,03,17,2015
246,650,,12,27,2015
247,801,,02,06,2015
248,801,,10,11,2015
249,1850,36.0,02,12,2015
250,802,27.0,01,24,2015
251,801,55.0,05,07,2015
252,702,25.0,09,18,2015
253,640,27.0,01,25,2015
254,1850,30.0,03,18,2015
255,1352,,02,20,2015
256,2402,,12,02,2015
257,801,20.0,07,07,2015
258,801,32.0,07,09,2015
259,840,,05,15,2015
260,650,79.0,06,07,2015
261,690,28.0,10,30,2015
262,2655,,04,01,2015
263,801,43.0,05,30,2015
264,801,21.0,11,03,2015
265,690,51.0,02,04,2015
266,690,,12,02,2015
267,302,28.0,08,28,2015
268,401,,12,03,2015
269,1401,38.0,02,05,2015
270,2601,52.0,07,03,2015
271,1401,30.0,01,16,2015
272,840,53.0,09,09,2015
273,640,30.0,06,28,2015
274,401,49.0,06,29,2015
275,690,36.0,03,13,2015
276,690,,02,17,2015
277,1849,,03,30,2015
278,1651,,07,07,2015
279,640,35.0,02,08,2015
280,702,,08,06,2015
281,2604,,10,10,2015
282,802,42.0,03,12,2015
283,2201,,06,07,2015
284,1850,47.0,07,21,2015
285,301,37.0,08,09,2015
286,1651,41.0,05,06,2015
287,1401,48.0,04,04,2015
288,1651,22.0,12,10,2015
289,2601,,03,24,2015
290,840,39.0,10,16,2015
291,403,21.0,08,02,2015
292,802,18.0,09,30,2015
293,840,,07,17,2015
294,302,42.0,12,07,2015
295,302,,11,16,2015
296,302,49.0,03,14,2015
297,1850,,11,11,2015
298,702,19.0,,,
299,802,44.0,10,21,2015
300,301,40.0,05,23,2015
301,799,,03,21,2015
302,1352,54.0,06,15,2015
303,2601,19.0,07,15,2015
304,2100,40.0,01,31,2015
305,840,,03,29,2015
306,640,,09,05,2015
307,1352,,12,05,2015
308,2100,35.0,06,06,2015
309,640,32.0,10,04,2015
310,640,,01,31,2015
311,2601,39.0,12,27,2015
312,690,,02,21,2015
313,2402,,05,10,2015
314,301,20.0,11,18,2015
315,2100,,07,31,2015
316,2601,29.0,09,08,2015
317,1546,,12,15,2015
318,302,20.0,08,01,2015
319,1401,45.0,08,16,2015
320,1849,,09,18,2015
321,1850,,10,25,2015
322,840,18.0,01,16,2015
323,2601,36.0,05,09,2015
324,801,35.0,08,13,2015
325,2201,,06,13,2015
326,401,40.0,09,07,2015
327,801,,04,25,2015
328,1850,,03,15,2015
329,1850,39.0,09,11,2015
330,1849,,10,10,2015
331,401,23.0,11,04,2015
332,690,25.0,05,24,2015
333,1850,32.0,01,05,2015
334,690,50.0,02,04,2015
335,1401,,08,08,2015
336,1850,38.0,06,04,2015
337,401,,11,12,2015
338,401,,12,18,2015
339,1651,,12,10,2015
340,1849,32.0,09,18,2015
341,1849,22.0,05,09,2015
342,1849,26.0,03,04,2015
343,640,,09,17,2015
344,401,26.0,07,05,2015
345,690,31.0,03,13,2015
346,401,,10,14,2015
347,2100,20.0,03,15,2015
348,801,25.0,12,03,2015
349,1849,,08,11,2015
350,401,21.0,04,03,2015
351,1546,,07,15,2015
352,2201,40.0,01,31,2015
353,401,48.0,07,18,2015
354,2402,55.0,11,04,2015
355,2601,36.0,07,12,2015
356,2100,57.0,01,16,2015
357,801,,03,30,2015
358,1849,,06,26,2015
359,302,,02,17,2015
360,2601,65.0,04,01,2015
361,840,29.0,03,21,2015
362,2100,28.0,08,02,2015
363,1849,21.0,09,09,2015
364,801,30.0,11,03,2015
365,301,,04,11,2015
366,1849,41.0,11,26,2015
367,1170,,05,31,2015
368,403,24.0,07,15,2015
369,401,31.0,08,17,2015
370,640,,03,14,2015
371,401,,08,15,2015
372,401,23.0,08,12,2015
373,2402,,01,04,2015
374,1850,50.0,06,18,2015
375,1849,22.0,06,16,2015
376,2001,26.0,04,03,2015
